,BAU,CT,R&D
140,0.0323124939,2.07E-02,0.0261858175
141,0.032405,2.13E-02,0.0267394046
142,0.0321776505,2.14E-02,0.0261049781
143,0.0326447343,2.13E-02,0.0272329178
144,0.0318398493,2.16E-02,0.0251880244
145,0.0370446263,2.37E-02,0.0309397258
146,0.0357697309,2.24E-02,0.0278738027
147,0.0369069108,2.26E-02,0.02937153
148,0.0347038572,2.30E-02,0.0280982688
149,0.0352527279,2.31E-02,0.0299252259
150,0.0335526879,2.34E-02,0.0270311115
151,0.0339435457,2.33E-02,0.0270290693
152,0.0336926162,2.37E-02,0.0273736261
153,0.033338433,2.33E-02,0.0294025795
154,0.0337879817,2.24E-02,0.0286149049
155,0.0334020563,2.29E-02,0.0281278853
156,0.033592007,2.16E-02,0.0292338551
157,0.0367460665,2.50E-02,0.0314373463
158,0.0348223814,2.25E-02,0.0302968628
159,0.036070878,2.40E-02,0.0312342141
160,0.0344273069,2.37E-02,0.0292634845
161,0.0346929519,2.46E-02,0.0300146972
162,0.0329869535,2.34E-02,0.0276050001
163,0.0341915697,2.35E-02,0.0278925973
164,0.0329514926,2.35E-02,0.028280875
165,0.0338782118,2.36E-02,0.029385048
166,0.0338316582,2.41E-02,0.0274689991
167,0.0342057555,2.41E-02,0.0287554362
168,0.0339221265,2.38E-02,0.0260665023
169,0.0376688425,2.67E-02,0.0302151144
170,0.0371783633,2.47E-02,0.0269091728
171,0.0367857128,2.66E-02,0.0308703166
172,0.0353936278,2.52E-02,0.0294450507
173,0.0361274143,2.61E-02,0.0304429684
174,0.0351656038,2.44E-02,0.029976556
175,0.0354853141,2.53E-02,0.0310421315
176,0.0342702592,2.34E-02,0.0284063958
177,0.0342383971,2.35E-02,0.0295369366
178,0.0331479698,2.41E-02,0.0297855209
179,0.0341687617,2.36E-02,0.0303715571
180,0.0335433306,2.27E-02,0.0273368376
181,0.0401590605,2.73E-02,0.0311170825
182,0.0368980224,2.42E-02,0.0311839681
183,0.0367047292,2.53E-02,0.0329632831
184,0.0349197371,2.56E-02,0.0314204768
185,0.036442395,2.64E-02,0.0315933175
