AU Spalte,BAU,8,308
,ET,309,609
,L,610,910
,R,911,1211
,,,
,,1 (BAU),2 (CT)
,,,
,1 (BAU),2 (CT),3 (R&D)
167,1717462.72831973,1641668.68922657,1717075.04072686
168,1716770.78011021,1641646.31241775,1713881.66898191
169,1730066.11291479,1659925.22089318,1745964.46566075
170,1717755.22564143,1647178.6839627,1726471.17326209
171,1720546.65462671,1652089.21576826,1730188.68864654
172,1718627.9903771,1646198.22641907,1727191.1312861
173,1720940.78738142,1648722.09490676,1729130.34443541
174,1718112.13146427,1647597.36583269,1726094.33409916
175,1718875.5790191,1650122.41204713,1724772.14331553
176,1722707.58938523,1647824.07823767,1722546.60339251
177,1721643.96276085,1651380.81311063,1723092.04406477
178,1724966.02325096,1650688.3097645,1723089.67772779
179,1725217.74821872,1650954.47601658,1721529.67007838
180,1723051.4953271,1647701.00578925,1717467.26108014
181,1743642.71587116,1672890.22614118,1725924.54942135
182,1726049.74060046,1665703.73733496,1716044.44220292
183,1731101.9670662,1667751.21534047,1723665.28919645
184,1731389.14625478,1668782.90399898,1721953.83598078
185,1731211.28424702,1667207.10556852,1720374.8976356
186,1728945.75953713,1664563.10894938,1718720.82809152
187,1732433.86396139,1670624.27981815,1718256.4344606
188,1733190.22067205,1665950.47109519,1719278.6920329
189,1731972.36818714,1665202.61459045,1719028.45189801
190,1731558.14470731,1664770.9777259,1718554.59291919
191,1731256.19292673,1663567.34095762,1715814.96628878
192,1732583.95349615,1666090.03171851,1719130.79597208
193,1747728.81481976,1676976.34920136,1725688.50730829
194,1727902.81454157,1664596.08529919,1715793.66925605
195,1730211.47522013,1666123.00806833,1717185.66698036
196,1728276.85657115,1664554.27599854,1716071.12226611
197,1729426.75513281,1662197.05585011,1721607.7591985
198,1728200.6299964,1664672.63753984,1715423.33751977
199,1729185.07552762,1664055.50870757,1717670.7660598
200,1725975.28673674,1662010.97501902,1713243.34958346
201,1727030.64070959,1661111.19175977,1718773.47908919
202,1724216.75738446,1663373.01603907,1713590.01795001
203,1725781.47032963,1661114.72494009,1715190.84491219
204,1724792.29756898,1665429.32699542,1715568.27565937
205,1732844.54201911,1649030.77284869,1726913.92145696
206,1727956.58677647,1660988.11931134,1715606.72863517
207,1727067.86764144,1657746.4263518,1720240.01642816
208,1723739.89811453,1656608.74228316,1724679.26458935
209,1725970.55950731,1657941.92899713,1721123.25170329
210,1723761.7615507,1656221.85903622,1718071.86017671
211,1724105.66749258,1653826.36276748,1719442.56086828
212,1723715.08015997,1651522.14032411,1718895.93702752
213,1722888.40591137,1650751.90701058,1719059.8058629
214,1724506.89109144,1655396.86142745,1718703.08056424
215,1722471.22791315,1650695.96498857,1719240.23905708
216,1725970.55950731,1651563.36076139,1714539.51066038
217,1741109.51179413,1669749.81768464,1737118.50647173
218,1732135.45760287,1662747.05425597,1723122.80644541
219,1732729.90670516,1665230.88003314,1729684.6588713
220,1728616.03528358,1667467.38318671,1728096.84676249
221,1733268.21995782,1667579.26723073,1726858.06935716
222,1732860.49641848,1663113.91614765,1722850.67769352
223,1734348.98278891,1662281.26331482,1726447.50989236
224,1732901.26877241,1663360.0610445,1722102.91521008
225,1732671.40724082,1662397.85826597,1724949.02700427
226,1732803.76966518,1660668.36649081,1723045.30890955
227,1731931.00492951,1659894.01113354,1725517.53946199
228,1732429.72763562,1659832.18047764,1722070.37807671
229,1744714.02424337,1669180.38678694,1729416.07962489
230,1733188.44796099,1657739.35999112,1717072.08280566
231,1732248.91110946,1657321.85584793,1723213.31883462
232,1728220.72072151,1656488.3495967,1716540.24857099
233,1729501.7999002,1661060.54950826,1719756.69210143
234,1727903.99634893,1659990.58472942,1718798.3256274
235,1729505.93622597,1654567.74177494,1719085.83556961
236,1725494.88204474,1656780.10152953,1714399.30519475
237,1723809.60683152,1656539.25640319,1718094.34037795
238,1723803.715712,1656697.0717916,1717090.4219172
239,1722273.86608395,1655279.08874953,1717207.55559735
240,1724495.66392153,1656527.47913539,1712707.96584334
241,1727031.23161327,1673535.62041615,1734659.29077262
242,1723128.31280552,1668604.47839195,1726196.67817323
243,1724804.70654625,1669188.63087439,1730874.33478444
244,1722009.14123522,1671452.81060726,1730017.12921602
245,1721672.91704119,1666889.70820155,1729175.89642214
246,1719244.89381922,1670741.46363267,1725156.67307364
247,1720822.60664536,1665386.33996798,1728150.08934438
248,1720044.97740223,1669856.40195816,1726769.33172068
249,1721713.09849143,1664137.37425596,1725172.05426395
250,1722905.54211808,1667459.13909925,1725757.72266475
251,1721411.73761453,1663346.51718653,1724965.59136306
252,1718175.35815807,1666461.60451733,1724209.54670022
253,1742135.91148664,1681028.31818495,1733403.35742425
254,1727165.95765235,1672393.2254404,1724260.42294513
255,1731523.28139019,1671915.06836807,1724139.73975953
256,1725697.56200706,1673191.72419664,1726486.55445241
257,1728107.26721492,1673438.45795687,1725147.20772574
258,1725572.88133052,1667344.31073828,1723599.62334544
259,1725526.79084347,1667959.08411699,1721116.74427663
260,1727386.95562876,1667909.03072887,1720857.03879384
261,1725614.83549181,1669685.63157518,1719880.33320828
262,1722041.64093764,1666418.6174899,1720692.57837421
263,1725210.06647089,1665522.95627437,1719691.02625043
264,1724756.25244449,1664465.94649011,1723683.03672375
265,1738871.16865351,1678986.13994994,1732374.00084103
266,1732627.0894648,1673055.69675366,1727676.23036555
267,1734645.61643637,1678575.11330402,1726611.97031198
268,1729618.79882888,1669342.91308246,1723486.630755
269,1731431.69131975,1672159.44667474,1722420.00436445
270,1730392.29174627,1671413.35676017,1725237.12853071
271,1728978.85014321,1669221.60722421,1726132.19549072
272,1729994.02266582,1671058.86099965,1728006.33437327
273,1731486.05445833,1667208.28329529,1726513.7673276
274,1727953.04135438,1668960.15187924,1721213.17250826
275,1728555.7631082,1665434.62676593,1724002.49221509
276,1727404.09183548,1668156.94221588,1725087.45771718
277,1740506.79004032,1677336.73359578,1738412.89279593
278,1733613.89861073,1668310.63556056,1723558.21244842
279,1733763.9881455,1672668.81350671,1730119.47329008
280,1732782.49713269,1670667.26684558,1727144.39613088
281,1733659.98909779,1670134.34547804,1726301.98016852
282,1735262.51987851,1669695.05338942,1725098.69781779
283,1732711.58869106,1670528.29508564,1724545.56655037
284,1735400.79133968,1670447.62080129,1723301.46488686
285,1730073.20375896,1668977.22891753,1724884.54432175
286,1732161.45736479,1668151.05358198,1723422.14807248
287,1728570.53570019,1668722.83993326,1721481.16017045
288,1730628.06231467,1668112.77746166,1720723.34075487
289,1752505.68017053,1681141.96881913,1727495.79717136
290,1736462.07733797,1670362.82447318,1722090.49194097
291,1746765.64182104,1670249.76270238,1721366.9844115
292,1743473.71741862,1670146.71160922,1720421.04120657
293,1744981.11270682,1671584.12714314,1720071.41491883
294,1743545.21676393,1670346.33629827,1719298.21431292
295,1744403.20890758,1668643.93223905,1719312.41233476
296,1744536.16223563,1669325.24718078,1717309.30808718
297,1745678.96995313,1666949.18340388,1719512.36780897
298,1744387.84541189,1670548.3164409,1718667.58550964
299,1746204.28332484,1669560.36479368,1716171.10000321
300,1742886.95006418,1670600.72528257,1719053.29843623
