,BAU,CT,R&D
81,1.5014958302,1.4705714685,1.4493531495
82,1.4800316999,1.4960500772,1.4662906326
83,1.4825298299,1.5116330269,1.4635505835
84,1.4790504697,1.4746704651,1.4529349211
85,1.4708224879,1.4529541621,1.4364744471
86,1.5047682157,1.4998883228,1.4757274071
87,1.4518319299,1.461763702,1.4222481092
88,1.4692058249,1.478582622,1.4501871092
89,1.4684973867,1.4682872907,1.4497237273
90,1.490109915,1.4693958021,1.4420025821
91,1.4661174332,1.4694014776,1.4436265168
92,1.4613559716,1.4632343771,1.4396606508
93,1.4823503967,1.4692120711,1.4469875227
94,1.4761195258,1.4719724294,1.4398775616
95,1.4587433574,1.4605429031,1.4511206711
96,1.4720105435,1.4661869402,1.441790565
97,1.4474156047,1.4389368412,1.4196388913
98,1.4713868913,1.4485356374,1.4394160531
99,1.4609858052,1.4501177005,1.4134941274
100,1.4508591389,1.4401653302,1.4319494682
101,1.4647016996,1.449669811,1.4218657703
102,1.4427152156,1.4546240703,1.4292994013
103,1.479501019,1.429450044,1.4143724203
104,1.4477320283,1.4503297006,1.4273470449
105,1.4559167159,1.4336363043,1.4200893171
106,1.4564004834,1.4450180354,1.4337505586
107,1.4632130842,1.4391535757,1.4161918971
108,1.4376200656,1.4388947822,1.421501282
109,1.4456473638,1.4226803431,1.4020572576
110,1.4483732719,1.4376032569,1.4247419486
111,1.409698863,1.4164162798,1.3898167759
112,1.4307538038,1.428944383,1.4093005299
113,1.4474001709,1.4233037729,1.4111433469
114,1.4194154069,1.4223991121,1.3991536098
115,1.4301357614,1.4304005767,1.4072772824
116,1.4303001001,1.4271546948,1.3943951457
117,1.4310289244,1.4249198783,1.4278779273
118,1.4415618105,1.4253248345,1.393714451
119,1.4321916665,1.4254966452,1.4059165738
120,1.427335163,1.4443908697,1.4064471306
121,1.4031560122,1.3906744563,1.3628452095
122,1.4292409458,1.4299151856,1.4114782883
123,1.4103350921,1.3973365861,1.367076043
124,1.4232235024,1.4451971992,1.3962305895
125,1.4107263881,1.3878241464,1.367374105
126,1.4191508126,1.4308693335,1.3921655686
127,1.4140862427,1.4016296554,1.3836790859
128,1.412106235,1.4319902529,1.3877383864
129,1.4154743223,1.3953600943,1.3725964257
130,1.4179413565,1.4257716814,1.3865268708
131,1.4109750046,1.3974606028,1.3736613396
132,1.4110536742,1.4285693754,1.3810272578
133,1.4000148107,1.3811377259,1.3507814499
134,1.398806368,1.4343341499,1.3717376938
135,1.399576566,1.3849892076,1.3490830834
136,1.4019052619,1.404219816,1.3741600945
137,1.4166260229,1.3980434392,1.3611510459
138,1.3864662969,1.3965912877,1.3782973588
139,1.3964439499,1.3953356109,1.3530536778
140,1.4039714252,1.4037774326,1.36073175
141,1.3884092618,1.3917156539,1.3764495913
142,1.3951463968,1.4004849941,1.3656274216
143,1.3973298044,1.3968197995,1.3547561667
144,1.4059210465,1.3913463565,1.3672331194
145,1.3564533962,1.3837504827,1.3143121053
146,1.3973749042,1.3947916163,1.3752562691
147,1.3732907593,1.369259587,1.3277379848
148,1.3906734395,1.3829280299,1.3493920925
149,1.3733579572,1.3824374021,1.3398513344
150,1.3776856594,1.3835503321,1.361107272
151,1.3828686348,1.3819159405,1.3213664553
152,1.3647821655,1.373958685,1.3471785873
153,1.3845485719,1.3791736891,1.3396306564
154,1.3748293352,1.3785134163,1.3471267331
155,1.377509266,1.376301658,1.3416694801
156,1.3886900429,1.3958466221,1.3301368685
157,1.3469309244,1.3465318979,1.3292880483
158,1.3841220179,1.3830739314,1.3392821166
159,1.3491293047,1.3525075388,1.3230171955
160,1.3830349452,1.3639860413,1.3481167353
161,1.3672893085,1.3610423202,1.3091289604
162,1.3706061514,1.3728022441,1.3409694734
163,1.3510973857,1.3554101067,1.3252731056
164,1.3855525178,1.3597241568,1.3383458524
165,1.3564249528,1.3664227251,1.327741369
166,1.3661383158,1.356613617,1.3323689877
167,1.3698645733,1.3582972578,1.3210517363
168,1.3678654291,1.3687378192,1.3502121241
169,1.3417061024,1.3338807107,1.2757596005
170,1.3667930737,1.3645633061,1.3402746322
171,1.35503986,1.3281488725,1.3025207788
172,1.353699312,1.3547715461,1.316704558
173,1.3417245364,1.3342791317,1.3006883752
174,1.3667495139,1.3573629001,1.3091033591
175,1.3514334673,1.3396499663,1.3073362669
176,1.3655724315,1.3636882018,1.321931468
177,1.3602041645,1.3413122004,1.2992548404
178,1.3533971492,1.3456613907,1.3098373742
179,1.3457815733,1.3434603508,1.3121713471
180,1.369806727,1.3687918881,1.3321441525
181,1.3245852691,1.3080079099,1.2830250831
182,1.3751315338,1.3635556325,1.3070253245
183,1.3315326708,1.3334590313,1.2851513191
184,1.3470517468,1.333702521,1.3063272278
185,1.3411028965,1.3320845311,1.2920049438
186,1.3666475194,1.3429114638,1.2945076444
187,1.3412537565,1.3341263334,1.3037904103
188,1.3560208504,1.3341188881,1.2933130717
189,1.3374629106,1.3350478452,1.2937292069
190,1.3449838683,1.3319693484,1.2915844966
191,1.3504507254,1.3492206203,1.3002174007
192,1.3471797423,1.3249934086,1.2912439918
193,1.3120089574,1.3156259041,1.2775469724
194,1.359295908,1.3314737753,1.2950021047
195,1.3127694474,1.3183722097,1.2918940978
196,1.3309654289,1.3244074148,1.301151789
197,1.3332551016,1.3278375996,1.2654591495
198,1.3232855129,1.3124194708,1.3057200671
199,1.3369520078,1.3385757511,1.2729374456
200,1.3333648775,1.3145152173,1.2920178589
201,1.3158891498,1.3240402699,1.2769691718
202,1.3292199582,1.3132898153,1.2947447969
203,1.3223449508,1.3554118119,1.2799191061
204,1.3266674122,1.3027394727,1.2817131671
205,1.3057580324,1.3081773376,1.2446653252
206,1.3168240989,1.2939293276,1.2981391511
207,1.3021669867,1.319167955,1.2528368653
